,DATEPRD,ON_STREAM_HRS,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,AVG_WHP_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_WAT_VOL,Total Injection
121,2008-06-13,24.0,177.528,43.45261,79.035,45.526,5032.0,10.0,8904.362416107382
122,2008-06-14,22.67,177.314,38.5365,81.689,49.276,4332.0,8.0,7257.087248322147
123,2008-06-15,24.0,177.887,43.71837,78.75,45.261,5088.0,10.0,9671.812080536913
124,2008-06-16,24.0,178.031,43.74744,78.834,45.331,5102.0,10.0,9645.536912751679
125,2008-06-17,24.0,177.957,43.83344,79.166,45.624,5103.0,10.0,9665.261744966443
126,2008-06-18,24.0,178.079,43.81087,79.36,45.863,5135.0,7.0,9674.986577181207
127,2008-06-19,24.0,178.273,42.87523,79.475,45.958,5141.0,9.0,9695.711409395974
128,2008-06-20,23.5,177.667,40.89223,81.984,49.029,4722.0,10.0,8192.436241610738
129,2008-06-21,24.0,178.304,42.8308,80.459,47.017,5038.0,15.0,9652.161073825504
130,2008-06-22,24.0,178.614,42.81797,79.815,46.301,5147.0,11.0,9713.885906040268
131,2008-06-23,24.0,178.795,43.44097,80.054,46.553,5115.0,10.0,9755.610738255033
132,2008-06-24,24.0,179.018,42.54713,80.106,46.61,5124.0,12.0,9759.335570469799
133,2008-06-25,24.0,178.925,43.48804,80.39,46.897,5135.0,12.0,9192.060402684563
134,2008-06-26,15.83,178.766,42.24035,81.195,47.743,4233.0,10.0,6983.785234899329
135,2008-06-27,24.0,179.24,43.45684,80.422,46.832,5126.0,12.0,9687.510067114094
136,2008-06-28,24.0,179.116,43.49251,80.495,46.83,5076.0,12.0,3305.2348993288592
137,2008-06-29,24.0,179.477,43.49195,80.21,47.174,5121.0,12.0,9043.959731543624
138,2008-06-30,24.0,159.676,39.40927,85.724,52.963,4372.0,10.0,9813.68456375839
139,2008-07-01,22.67,177.107,36.96231,87.226,54.522,3981.0,9.0,8299.409395973154
140,2008-07-02,24.0,179.208,43.20357,81.132,48.12,5115.0,1.0,9949.134228187919
141,2008-07-03,24.0,179.097,42.98895,81.397,48.398,5084.0,15.0,9351.859060402685
142,2008-07-04,24.0,179.351,42.97349,81.315,48.295,5081.0,5.0,8939.58389261745
143,2008-07-05,24.0,179.515,42.97301,81.278,48.248,5086.0,12.0,10014.308724832215
144,2008-07-06,24.0,179.532,42.98479,81.353,48.319,5088.0,16.0,9685.03355704698
145,2008-07-07,24.0,179.438,43.00275,81.501,48.468,5095.0,13.0,10122.758389261746
146,2008-07-08,24.0,179.481,42.97861,81.671,48.648,5096.0,36.0,10131.48322147651
147,2008-07-09,24.0,179.803,42.94835,81.571,48.531,5094.0,12.0,10131.208053691274
148,2008-07-10,21.35,179.806,42.96093,81.684,48.647,4622.0,11.0,4464.932885906041
149,2008-07-11,13.17,178.817,40.25518,84.282,51.081,2856.0,7.0,1994.6577181208054
150,2008-07-12,6.31,174.676,32.11065,100.155,68.707,687.0,2.0,1202.3825503355706
151,2008-07-13,24.0,177.039,47.85813,87.266,54.693,4169.0,10.0,916.1073825503356
152,2008-07-14,23.25,175.742,44.35988,88.715,56.384,3819.0,9.0,924.8322147651007
153,2008-07-15,24.0,176.255,48.69365,83.965,51.32,4305.0,10.0,3208.557046979866
154,2008-07-16,24.0,173.532,44.46811,89.772,57.626,3527.0,11.0,9942.28187919463
155,2008-07-17,24.0,172.957,42.87977,91.623,59.569,3342.0,8.0,10016.006711409396
156,2008-07-18,24.0,172.614,42.0441,92.674,60.734,3216.0,13.0,10006.73154362416
157,2008-07-19,24.0,172.479,41.69155,93.172,61.224,3176.0,7.0,10148.456375838927
158,2008-07-20,24.0,172.558,41.65428,93.175,61.259,3186.0,7.0,10025.181208053691
159,2008-07-21,24.0,172.53,41.6589,93.227,61.325,3183.0,7.0,10140.906040268457
160,2008-07-22,24.0,172.603,41.65539,93.245,61.335,3167.0,8.0,10129.630872483222
161,2008-07-23,24.0,172.523,41.66181,93.323,61.426,3149.0,7.0,9501.355704697986
162,2008-07-24,24.0,172.551,41.66942,93.299,61.019,3149.0,7.0,10216.080536912752
163,2008-07-25,24.0,172.445,41.69731,93.466,60.962,3163.0,7.0,10197.805369127516
164,2008-07-26,24.0,172.448,41.6702,93.575,61.046,3145.0,7.0,10085.530201342282
165,2008-07-27,24.0,172.474,41.64633,93.6,61.052,3177.0,7.0,10293.255033557047
166,2008-07-28,24.0,172.6,41.63665,93.554,60.996,3143.0,7.0,10320.979865771813
167,2008-07-29,24.0,173.066,42.95633,92.066,59.623,3346.0,11.0,10329.704697986577
168,2008-07-30,24.0,172.046,33.33069,98.526,67.01,2434.0,6.0,10311.429530201342
169,2008-07-31,24.0,173.499,31.97885,97.748,66.2,2317.0,4.0,10238.154362416108
170,2008-08-01,24.0,172.233,40.14273,95.34,63.475,2976.0,5.0,10256.879194630872
171,2008-08-02,24.0,176.968,38.32368,90.503,60.195,3032.0,4.0,10265.604026845638
172,2008-08-03,24.0,172.334,40.23154,95.148,63.244,2993.0,5.0,10321.328859060402
173,2008-08-04,24.0,172.357,40.14094,94.968,63.084,3093.0,5.0,10334.053691275169
174,2008-08-05,24.0,172.433,40.22204,94.969,63.066,2999.0,5.0,8889.778523489933
175,2008-08-06,7.53,172.611,36.88709,95.316,63.382,920.0,1.0,3913.503355704698
176,2008-08-08,6.98,172.604,28.20086,101.599,69.071,808.0,1.0,2532.953020134228
177,2008-08-09,24.0,175.872,47.51018,85.512,52.429,4060.0,6.0,10237.677852348994
178,2008-08-10,24.0,175.555,49.18402,83.477,50.397,4349.0,7.0,10469.402684563758
179,2008-08-11,24.0,175.493,49.69052,82.623,49.488,4412.0,7.0,10061.127516778524
180,2008-08-12,24.0,175.48,49.43067,81.469,48.281,4418.0,7.0,10186.852348993289
181,2008-08-13,24.0,175.228,50.24218,81.25,48.085,4449.0,9.0,10197.577181208053
182,2008-08-14,24.0,174.97,49.35612,81.954,48.856,4354.0,27.0,10205.302013422819
183,2008-08-15,24.0,175.028,51.23093,79.843,46.521,4499.0,48.0,10245.026845637583
184,2008-08-16,24.0,177.045,57.23161,73.128,39.57,5479.0,48.0,10256.75167785235
185,2008-08-17,24.0,176.359,57.28408,72.646,39.114,5444.0,54.0,8055.476510067114
186,2008-08-18,24.0,175.502,56.92553,72.445,38.955,5374.0,18.0,10173.20134228188
187,2008-08-19,24.0,175.016,56.70427,72.134,38.671,5315.0,10.0,10290.926174496644
188,2008-08-20,24.0,174.788,56.72041,71.474,38.021,4981.0,9.0,10332.65100671141
189,2008-08-21,24.0,173.022,52.22903,75.738,42.445,4450.0,8.0,8326.375838926175
190,2008-08-22,24.0,168.541,34.9762,94.166,61.583,2050.0,4.0,10435.100671140939
191,2008-08-23,24.0,168.997,34.90242,95.056,62.693,2059.0,4.0,10227.825503355705
192,2008-08-24,24.0,169.183,34.9779,95.885,63.379,2080.0,4.0,10598.55033557047
193,2008-08-25,24.0,169.561,34.97059,96.513,63.996,2090.0,4.0,10488.275167785236
194,2008-08-26,24.0,170.104,34.93069,96.966,64.214,2093.0,4.0,8781.0
195,2008-08-27,24.0,170.234,34.77368,97.253,64.862,2084.0,40.0,1902.0
196,2008-08-28,23.83,170.308,34.61917,96.79,64.948,2087.0,4.0,4684.0
197,2008-08-29,24.0,170.193,35.87947,96.191,64.215,2190.0,4.0,3272.0
198,2008-08-30,24.0,169.961,34.84776,97.034,65.072,2059.0,2.0,5582.0
199,2008-08-31,10.5,170.564,30.02816,97.603,65.825,625.0,1.0,5400.0
200,2008-09-01,24.0,170.312,34.25806,97.544,65.589,2029.0,2.0,5572.0
201,2008-09-02,9.71,170.303,32.68822,97.838,65.908,837.0,0.0,5270.0
202,2008-09-03,0.0,169.724,32.6258925,106.783,75.044,0.0,0.0,5473.0
203,2008-09-04,0.0,172.181,32.563565,104.637,80.955,0.0,0.0,5470.0
204,2008-09-05,0.0,172.61,32.5012375,104.488,83.341,0.0,0.0,5637.0
205,2008-09-06,8.5,174.794,32.43891,95.422,63.468,761.0,0.0,5643.0
206,2008-09-07,24.0,171.259,35.50777,97.438,65.365,2173.0,1.0,5466.5
207,2008-09-08,5.71,171.045,30.48369,98.563,66.531,500.0,0.0,5290.0
